current_frame,Angle1,Angle2,Angle3,Angle4
176,157.21,161.3,97.44,99.01
177,160.3,162.83,98.03,98.69
178,162.74,167.33,100.48,99.39
179,166.09,170.8,101.89,100.49
180,165.94,170.73,99.61,100.29
181,167.13,171.91,102.52,100.37
182,168.23,172,103.16,100.34
183,169.11,174.22,101.26,101.45
184,169.33,175.38,101.41,101.42
185,171.49,175.39,100.84,100.8
186,172.43,177.73,99.53,100.62
187,172.37,177.49,100.68,102.48
188,173.6,178.73,99.66,102.54
189,173.53,177.64,99.52,102.6
190,173.6,178.7,100.88,102.55
191,173.52,176.35,100.83,101.48
192,173.45,177.6,103.01,102.56
193,173.45,178.68,101.24,102.59
194,173.41,179.1,103,103.71
195,173.45,179.81,101.84,103.71
196,173.52,179.68,101.32,103.61
197,173.44,179.63,101.26,103.6
198,173.4,179.8,101.23,103.68
199,172.39,177.5,102.37,102.57
200,172.38,177.36,100.69,102.44
201,172.32,177.6,101.25,102.53
202,171.37,177.51,101.35,102.52
203,171.36,177.4,101.34,102.4
204,169.28,175.39,99.09,101.52
205,170.36,176.45,101.45,100.47
206,168.26,177.35,101.29,100.39
207,170.15,178.79,99.93,103.77
208,171.04,177.67,103.09,103.69
209,171.99,176.44,102.22,101.9
210,170.08,176.5,101.46,102.02
211,170,177.62,103.2,103.76
212,171.94,176.5,102.28,103.81
213,169.01,176.46,103.14,105.49
214,169.01,174.25,102.65,102.67
215,170.64,171.9,103.52,101.95
216,166.65,172.03,101.91,102.17
217,164.29,168.51,101.82,101.84
218,163.38,166.21,100.66,98.6
219,159.08,163.78,101.66,100.75
220,158.71,164.86,99.77,100.85
221,157.86,163.72,101.56,100.57
222,157.97,163.66,101.98,99.02
223,155.66,160.22,100.42,97.8
224,154.58,160.23,100.45,99.17
225,152.48,158.95,99.41,99.14
226,144.8,158.93,95.74,97.66
227,143.1,156.39,93.27,96.99
228,140.8,151.05,92.95,93.43
229,138.07,153.05,91.54,93.15
230,137.54,146.8,90.65,93.51
231,134.96,144.75,89,90.95
232,127.53,141.32,88.04,89.13
233,124.13,138.35,86.37,90.08
234,122.13,135.53,85.83,90.69
235,121.36,132.83,85.75,87.19
236,117.63,131.48,84.98,84.9
237,114.47,129.65,83.42,84.11
238,112.05,128.17,82.59,87.4
239,106.12,119.34,79.78,81.67
240,101,121.95,77.78,85.48
241,99.22,112.57,77.77,82.49
242,97.02,108.01,78.39,84.74
243,93.91,104.9,79.05,85.21
244,89.51,100.46,77.08,85.24
245,88.51,96.99,79.78,84
246,87.99,95.92,78,85.78
247,81.84,90.58,74.61,83.95
248,79.47,85.16,74.33,85.06
249,78.55,84.06,72.87,84
250,75.66,83.44,70.82,84.58
251,75.84,80.39,72.26,82.41
252,73.17,79.25,71.08,83.57
253,72.1,77.62,71.12,80.36
254,69.54,79.66,71.96,79.62
255,71.08,81.67,70.78,79
256,69.84,80.57,68.5,78.95
257,71.39,83.24,71.33,79.38
258,72.92,83.24,70.17,78.82
259,76.74,82.33,70.88,81.17
260,77.45,85.18,70.17,80.95
261,78.32,86.86,68.03,78.68
262,79.98,87.95,70.8,78.76
263,82.49,90.49,70.74,82.18
264,87.06,94.18,72.11,81.72
265,88.54,96.81,73.21,84.56
266,93.96,105.58,73.09,86.24
267,99.44,111.63,73.86,86.97
268,102.85,116.23,76.89,87.56
269,109.35,120.82,81.48,86.95
270,115.96,129.67,83.51,86.55
271,119.46,135.9,83.77,88.4
272,133.15,143.2,94.85,91.67
273,142.78,150.89,104.39,98.85
274,161.04,161.23,120.52,108.36
275,166.58,166.51,131.63,119.3
276,174.59,175.51,139.46,148.27
277,176.77,175.78,132.75,148.29
278,175.91,173.26,135.68,141.97
279,173.62,174.49,144.28,147.95
280,169.77,177.75,139.24,144.77
281,168.41,179.96,141.41,147.02
282,167.14,176.61,138.14,149.94
283,166.49,177.72,138.15,144.79
284,167.31,177.62,135.64,146.16
285,166.09,176.72,136.86,145.26
286,166.01,175.57,133.97,146.55
287,166.04,176.55,132.31,147.71
288,166.28,176.57,128.46,146.55
289,166.26,177.59,125.29,149.81
290,164.29,176.59,127.54,146.48
291,164.21,177.71,127.58,149.76
292,164.2,175.67,130.62,143.92
293,165.1,175.71,131.72,143.92
294,165.49,175.47,127.48,147.34
295,162.26,176.56,127.72,150.98
296,164.17,176.74,131.53,146.5
297,164.51,176.72,122.17,141.44
298,165.71,176.79,130.91,144.26
299,165.64,174.61,122.89,137.31
300,166.77,177.81,129.29,137.61
301,169.38,175.62,133.67,146.04
302,168.54,173.5,129.12,137.51
303,161.47,160.33,130.6,110.82
304,149.76,155.98,106.66,97.44
305,141.54,153.38,96.48,92.44
306,131.53,150.22,86.39,92.27
307,126.12,143.83,82.95,90.46
308,115.87,132.35,81.84,85.69
309,108.04,129.11,81.98,86.27
310,104.07,135.54,78.26,88.55
311,102.02,134.67,76.26,87.7
312,98.8,117.89,76.26,84.7
313,97.93,113.85,77.73,79.77
314,94.85,108.68,74.91,82.32
315,91.98,102.98,76.07,81.22
316,89.91,99.37,73.45,80.65
317,90.05,97.95,74.27,80.02
318,88.66,95.2,70.76,77.61
319,84.15,97.11,71.2,79.06
320,81.85,90.91,71.61,81.56
321,81.98,88.9,72.46,77.04
322,79.8,87.9,73.82,80.18
323,79.74,87.42,71.01,76.45
324,76.28,88.68,71.06,78.82
325,74.1,91.4,73.03,83.26
326,73.5,87.48,71.82,75.43
327,73.45,85.85,72.49,74.37
328,71.32,87.87,68.96,78.09
329,71.3,86.82,69.6,79.33
330,72.45,85.22,71.81,78.8
331,71.44,83.05,69.72,76.62
332,72.05,81.49,70.35,76.71
333,72.35,87.92,69.6,79.39
334,72.51,88.56,72.53,79.9
335,76.23,86.81,73.16,80.26
336,74.74,87.63,73.66,79.49
337,79.32,89.55,71.61,79.01
338,78.45,91.3,72.11,77.85
339,79.24,89.84,75.71,82.34
340,83.6,91.71,72.3,80.29
341,85.22,94.63,73.93,84.02
342,85.75,94.48,72.24,82.88
343,87.23,99.46,74.38,79.76
344,90.4,105.19,77.31,80.3
345,94.39,107.61,74.78,82.99
346,98.54,113.77,76.93,86.26
347,102.78,111.13,80.27,85.73
348,108.49,115.61,82.74,83.97
349,111.32,124.05,81.87,91.18
350,112.91,127.05,84.76,92.27
351,114.42,131,88.38,92.64
