current_frame,Angle1,Angle2,Angle3,Angle4
0,166.02,165.58,110.07,111.86
1,165.23,165.58,112.51,110.52
2,166.04,165.5,112.3,112.06
3,166.07,165.63,113.53,107.89
4,165.03,165.74,108.98,107.83
5,163.94,165.76,112.52,107.89
6,163.93,165.8,110.05,107.82
7,162.57,165.51,110.09,107.93
8,163.02,165.65,113.79,107.9
9,161.93,165.68,112.61,107.88
10,164.79,165.68,114.75,110.73
11,160.51,166.88,111.24,110.33
12,160.41,166.7,112.53,113.29
13,161.41,166.74,113.45,113.25
14,160.43,165.44,111.34,110.69
15,160.32,163.16,114.79,109.67
16,160.3,164.12,113.58,109.46
17,158.92,162.66,113.83,114.02
18,156.55,159.11,109.06,111.24
19,155.38,157.64,111.51,110.13
20,154.54,157.27,111.48,110.09
21,154.4,153.54,111.5,110.54
22,151.7,147.16,111.78,108.2
23,149.8,144.37,111.53,108.94
24,145.84,143.09,110.71,109.05
25,139.82,142.49,108.91,108.93
26,140.52,138.46,111.2,111.04
27,137.67,134.42,107.14,110.03
28,135.17,133.79,107.17,109.7
29,133.49,129.33,107.17,108.28
30,133.24,124.06,104.29,106.09
31,131.63,121.03,106.83,107.93
32,126.77,116.75,106.59,106.59
33,122.85,113.67,101.96,106.6
34,119.51,114.79,104.63,104.66
35,115.68,114.24,100.93,104.08
36,112.51,111.71,103.04,102.52
37,111.13,107.43,102.77,102.55
38,107.59,107.29,103.69,102.37
39,106.09,104.98,100.47,104.6
40,107.88,104.44,99.15,104.13
41,104.5,100.88,96.45,97.17
42,105.21,98.35,98.73,100.73
43,102.45,97.7,98.17,98.28
44,105.95,98.64,100.27,100.29
45,103.25,100.63,99.75,101.42
46,103.51,100.33,101.19,97.79
47,99.08,101.44,100.97,97.72
48,100.48,102.02,93.31,95.98
49,101.04,104.25,96.58,99.21
50,101.84,112.42,96.41,98.06
51,108.75,116.53,91.03,95.82
52,110.15,121.74,92.74,98.18
53,114.48,130.81,93.95,97.52
54,119.13,132.3,91.45,104.65
55,126.69,151.78,97.15,107.77
56,135.55,154.7,115.83,109.7
57,143.49,160.83,126.9,117.58
58,156.94,166.08,139.95,127.98
59,173.31,172.61,154.72,134.89
60,176.64,174.23,156.22,141.74
61,178.89,177.57,145.74,139.58
62,179.1,177.94,150.33,145.21
63,179.95,176.89,153.29,142.21
64,179.01,176.49,154.37,145.3
65,174.43,172.9,147.94,142.07
66,172.23,179.2,149.22,140.12
67,174.52,174.28,150.31,138.77
68,176.64,174.34,144.12,139.97
69,176.63,173.21,145.45,140.67
70,176.62,176.46,146.82,147.39
71,174.46,172.16,149.04,145.36
72,172.2,174.14,149.88,148.59
73,170.22,173.25,145.97,145.17
74,172.31,172.11,147.9,147.5
75,168.13,170.89,138.04,144.95
76,170.16,170.69,136.59,143.89
77,168.06,174.12,139.6,145.44
78,167.02,170.92,138.87,135.82
79,165.72,170.8,137.22,135.71
80,163.64,174.18,138.8,142.4
81,163.7,174.26,135.78,141.32
82,164.51,177.64,143.42,138.58
83,169.93,178.78,148.14,139.88
