current_frame,Angle1,Angle2,Angle3,Angle4
0,105.31,115.06,100.58,93.89
1,69.38,115.06,74.92,93.85
2,69.68,113.9,76.03,93.84
3,109.38,112.48,104.09,93.76
4,61.25,105.44,76.24,92.25
5,113.8,106.22,101.98,91.7
6,110.95,104.72,100.4,91.63
7,112.38,102.05,110.08,90.04
8,116.64,102.04,101.39,90.26
9,119.78,101.85,103.2,90.13
10,104.86,100.47,98.65,90.11
11,113.33,97.0,104.66,87.81
12,112.89,96.89,99.15,87.87
13,117.33,97.15,103.62,90.0
14,122.34,96.38,104.2,90.79
15,125.05,96.31,105.69,90.76
16,124.67,88.82,109.96,87.64
17,131.58,86.87,113.98,89.36
18,128.12,86.06,111.74,88.49
19,120.95,86.04,107.46,88.51
20,123.8,85.92,114.13,88.52
21,126.37,87.68,115.4,87.7
22,121.27,86.75,109.13,91.05
23,115.73,83.32,106.72,88.62
24,105.3,83.36,107.31,87.49
25,125.46,84.96,119.99,85.68
26,125.91,80.89,114.94,87.0
27,128.41,82.52,119.91,84.15
28,109.86,85.67,102.41,88.08
29,117.13,82.98,111.02,89.17
30,123.35,82.29,111.03,87.32
31,121.69,81.85,109.12,85.19
32,104.14,80.13,98.1,82.72
33,100.27,81.54,95.72,83.3
34,97.24,79.24,91.03,84.22
35,102.22,79.46,95.99,85.09
36,108.53,77.89,103.56,81.05
37,102.87,77.89,92.05,81.02
38,122.4,77.9,109.72,83.01
39,119.62,76.61,103.33,81.64
40,105.97,79.17,104.47,81.78
41,100.48,78.2,93.2,75.77
42,103.85,81.66,102.81,81.79
43,109.1,80.47,103.79,78.69
44,97.61,78.22,97.33,77.31
45,112.55,79.06,94.17,81.54
46,108.79,79.83,103.06,77.31
47,108.56,82.3,97.17,74.3
48,119.99,87.47,99.81,75.61
49,112.46,90.0,103.98,78.05
50,114.73,91.24,111.54,78.24
51,127.4,93.75,105.4,81.02
52,115.12,95.03,107.64,79.71
53,124.25,98.99,103.45,81.21
54,115.31,100.6,107.02,85.66
55,123.13,99.88,97.48,83.23
56,126.24,104.88,102.29,85.72
57,119.69,105.88,98.89,86.55
58,121.11,111.46,95.07,90.35
59,126.71,114.21,115.78,91.02
60,131.43,116.57,104.29,91.77
61,129.11,120.54,110.0,95.95
62,134.06,121.18,104.41,96.01
63,135.91,126.63,107.76,94.83
64,141.25,128.37,113.19,97.74
65,145.34,129.92,105.19,95.47
66,151.38,132.23,116.48,99.92
67,157.01,136.04,121.82,102.16
68,157.23,140.43,121.11,110.33
69,159.89,151.28,127.34,122.19
70,165.54,155.88,124.87,126.14
71,171.05,163.99,113.74,136.28
72,176.25,167.44,137.96,142.58
73,175.02,169.67,145.01,147.04
74,179.67,170.4,148.18,143.14
75,176.9,172.42,147.38,143.0
76,178.84,177.1,105.31,136.83
77,176.96,176.84,103.23,139.19
78,175.98,176.54,111.06,148.62
79,179.38,174.82,108.01,146.12
80,175.45,178.2,120.41,148.53
81,175.6,176.87,116.96,144.54
82,175.75,177.2,114.33,148.8
83,178.01,175.37,147.13,144.61
84,179.44,170.8,120.73,141.42
85,174.91,170.52,135.67,136.32
86,176.61,170.19,147.22,143.5
87,171.21,168.47,126.53,139.2
88,169.48,170.09,138.29,137.23
89,171.22,169.61,147.03,139.22
90,176.39,168.08,130.02,136.93
91,169.82,171.61,136.06,136.42
92,169.59,169.66,106.6,128.42
93,167.56,169.6,122.44,141.06
94,169.65,171.34,129.98,133.23
95,172.98,168.0,130.24,138.91
96,169.71,171.39,130.15,138.81
97,173.03,171.42,123.21,136.02
98,176.58,172.89,111.94,135.79
99,178.15,171.37,110.03,130.45
100,174.65,171.17,126.85,133.28
101,176.49,171.64,123.71,128.2
102,171.53,173.12,116.75,126.7
103,173.18,174.8,118.71,126.72
104,178.47,172.03,126.07,129.54
105,178.19,171.78,122.97,126.78
106,176.76,167.14,106.9,125.16
107,172.59,171.63,113.34,133.16
108,177.73,171.52,108.41,130.7
109,176.99,171.35,120.58,130.71
110,175.31,171.34,114.71,135.3
111,174.81,169.49,110.22,133.26
112,176.62,169.8,104.88,130.9
113,171.21,169.51,112.92,128.2
114,173.9,170.3,107.94,125.93
115,172.3,170.35,114.85,130.8
116,172.07,171.49,96.47,135.61
