current_frame,Angle1,Angle2,Angle3,Angle4
0,165.66,174.49,94.1,100.08
1,163.92,170.6,96.49,98.5
2,160.44,176.1,90.88,100.17
3,158.57,174.68,95.07,98.83
4,158.49,173.26,94.04,98.54
5,156,170.57,92.87,97.27
6,155.85,174.53,93.92,98.87
7,156.99,174.55,95.2,99.9
8,157.04,172.07,95.19,96.3
9,154.81,173.79,94.43,97.84
10,154.39,176.54,96.72,99.12
11,155.76,177.66,96.74,100.47
12,153.36,179.4,95.61,101.85
13,155.03,179.52,95.98,102.19
14,152.54,179.25,94.8,102.2
15,148.05,179.07,92.93,104.45
16,146.19,176.28,92.58,103.42
17,144.82,176.13,92.53,101.97
18,142.01,176.16,93.65,109.25
19,144.22,174.65,95.13,104.31
20,143.17,175.8,94.08,105.68
21,141.72,174.63,92.83,105.63
22,142.91,172.18,93.9,102.14
23,144.62,174.64,96.32,105.84
24,147.53,173.32,94.33,103.46
25,148.58,171.97,97.29,107.05
26,150.63,174.8,95.77,103.28
27,159.31,172.03,100.48,110.89
28,164.6,175.97,100.21,103.12
29,163.53,173.68,96.65,100.25
30,170.92,174.35,99.84,99.52
31,169.77,176.97,100.88,98.75
32,172.11,176.92,101.96,95.66
33,173.42,176.89,100.57,98.75
34,176.18,174.23,104.68,96.53
35,178.79,175.83,105.95,96.64
36,178.8,174.54,105.01,96.75
37,177.27,175.91,108.34,96.7
38,177.42,177.25,104.91,96.66
39,178.54,175.56,107.28,96.51
40,178.59,176.8,107.3,97.83
41,178.68,175.49,104.78,97.83
42,178.94,175.52,105.98,97.89
43,178.93,174.24,108.47,100.79
44,178.97,174.32,108.47,99.9
45,178.89,174.46,106.07,97.26
46,179.02,174.45,106.04,100.09
47,178.68,174.45,106.16,100.06
48,178.73,173.17,106.25,100.11
49,178.79,173.33,108.69,100.39
50,178.78,173.14,108.64,100.18
51,178.59,174.57,106.32,98.81
52,178.57,175.85,106.35,100.8
53,176.11,173.21,111.1,100.33
54,177.28,173.19,108.59,100.33
55,175.9,173.24,107.65,100.31
56,176.2,172.03,107.6,100.36
57,177.28,175.81,107.63,101.64
58,177.31,175.93,107.67,101.64
59,177.3,175.93,107.59,100.74
60,178.43,173.3,107.71,99.59
61,178.45,173.51,107.72,102.33
62,177.16,174.6,107.73,101.71
63,177.12,173.35,107.76,100.47
64,178.43,174.54,107.78,104.43
65,178.4,175.71,107.81,103.34
66,177.19,176.09,107.7,103.45
67,179.86,175.89,108.95,103.33
68,179.8,175.82,106.51,102.06
69,176.39,175.86,105.33,101.12
70,174.83,175.74,107.61,101.9
71,168.59,172.57,103,101.2
72,170.97,167.64,102.6,97.46
73,166.99,163.87,101.28,95.48
74,163.35,159.95,98.28,93.47
75,159.3,155.82,97.93,94.65
76,152.24,150.45,96.49,88.86
77,147.16,146.24,96.51,91.1
78,141.48,148.05,93.85,91.9
79,137.29,146.34,89.82,86.28
80,133.57,148.24,86.51,87.92
81,130.08,136.65,84.84,85.93
82,124.47,133.18,82.78,83.23
83,120.42,121.3,81.1,78.56
84,113.75,115.14,83.45,76.38
85,108.17,106.66,80.78,76.17
86,105.56,111.71,80.15,79.85
87,100.27,103.49,81.05,83.42
88,100.34,105.83,81.41,83.73
89,95.7,102.86,80.33,83.71
90,92,95.85,77.4,82.65
91,90,91.89,77.42,82.41
92,87.19,89.98,77.51,85.12
93,86.33,84.32,74.5,79.66
94,83.32,80.07,75.48,79.8
95,83.34,78.66,75.55,77.57
96,84.15,83,75.65,79.84
97,83.81,85.96,74.99,80.13
98,84.67,83.13,73.23,80.46
99,87.2,86.85,76.14,75.96
100,83.92,93.27,76.64,77.44
101,87.1,89.19,79.45,78.44
102,91.11,95.05,82.89,78.5
103,92.71,96.99,78.7,80.43
104,96.76,104.15,81.55,77.99
105,100.4,103.68,81.05,80.15
106,105.16,108.5,84.15,80.65
107,110.71,115.18,86.04,80.92
108,116.13,117.7,88.39,82.23
