current_frame,Angle1,Angle2,Angle3,Angle4
177,137.26,143.41,103.37,98.31
178,131.9,142.11,102.99,97.31
179,122.59,139.48,100.93,97.3
180,120.75,138.57,97.96,96.96
181,118.07,137.43,94.03,91.92
182,115.83,134,95.46,93.31
183,115.35,126.34,91,89.54
184,112.55,118.43,91.68,89.67
185,104.38,116.31,89.14,85.91
186,100.78,112.15,86.01,87.39
187,96.78,106.45,85.16,84.8
188,94.71,101.63,85.76,82.01
189,89.64,98.42,85.05,80.95
190,90.52,96.22,82.01,81.54
191,89.92,92.75,82.54,79.66
192,87.07,93.24,81.26,84.92
193,85.97,89.42,82.88,79.33
194,83.21,84.71,80.44,79.33
195,83.68,85.62,81.54,81.49
196,84.68,85.07,78.04,82.62
197,84.72,87.44,82.57,79.62
198,86.74,92.33,83.7,81.4
199,91.06,95.36,82.21,84.07
200,91.51,97.06,83.08,84.09
201,93.33,96.24,82.72,81.78
202,93.18,100.17,83.53,81.67
203,98.71,107.45,86.15,82.3
204,101.45,118.7,86.64,85.26
205,105.93,124.33,87.21,88.4
206,109.86,126.58,92.88,90.3
207,116.61,140.61,97.85,98.07
208,125.56,150.02,110.66,106.17
209,135.28,154.93,115.36,112.72
210,155.67,162.66,143.25,126.23
211,167,175.6,145.59,137.81
212,178.8,176.68,145.15,146.1
213,178.97,172.38,145.15,141.25
214,179.99,171.2,150.79,149.37
215,177.95,174.51,152.36,147.6
216,178.9,176.64,155.34,146.85
217,175.72,179.9,152.33,141.86
218,177.85,174.2,154.35,142.95
219,176.84,173.82,154.75,140.23
220,172.79,174.25,142.12,148.26
221,173.77,172.97,144.37,142.6
222,171.86,171.62,138.73,140.44
223,171.92,173.76,137.48,139.28
224,172.85,174.6,135.62,137.99
225,173.74,175.38,135.05,139.02
226,172.98,176.45,132.51,136.18
227,170.9,174.79,132.9,133.5
228,173.74,174.88,132.93,133.01
229,170.78,172.85,130.91,130.06
230,170.76,175.02,132.14,131.1
231,171.93,174.56,128.57,130.7
232,169.45,174.62,132.49,130.55
233,167.33,174.96,130.71,128.83
234,168.27,175.78,134.45,140.63
235,169.13,176.99,143.66,137.52
236,170.1,178.84,137.46,141.98
237,170.06,175.87,140.09,134
238,171.46,174.49,142.19,135.79
239,170.78,174.63,141.2,142.69
240,167.74,170.36,145.81,102.85
241,156.24,160.65,120,103.24
242,144.95,149.8,104.52,101.5
243,134.85,146.92,96.9,97.67
244,125.47,143.9,93.38,93.88
245,120.91,139.29,91.76,92.52
246,116.54,131.16,90.5,92.28
247,113.63,127.75,90,93.89
248,108.93,118.13,87.02,89.7
249,105.22,116.29,84.97,89.86
250,101.94,112.34,84.84,90.82
251,96.29,106.56,84.85,89.89
252,94.51,101.63,85.29,87.74
253,91.55,100.52,85.71,87.72
254,88.66,98.84,85.04,87.79
255,88.11,99.13,87.02,92.09
256,88.41,95.4,86.85,87.68
257,85.9,95.79,86.83,87.6
258,84.52,95.78,85,89.02
259,84.06,94.58,87,88.66
260,83.54,94.57,86.67,88.73
261,83.53,95.8,88.69,90.91
262,84.57,97.02,88.74,93.59
263,84.13,95.36,88.74,91.38
264,86.64,97.13,88.8,91.39
265,88.93,96.57,89.61,91.82
266,90.28,96.84,92.28,90.19
267,91.69,99.76,92.79,92.83
268,97.06,105.85,96.11,95.91
269,101.38,109.99,96.96,93.53
270,104.37,114.52,97.83,95.53
271,104.89,112.57,96.31,96.83
272,108.99,115.03,101.03,98.32
273,111.09,119.41,97.55,99.75
274,113.6,121.67,97.64,97.02
275,114.87,127,100.68,103.33
276,117.34,127.63,100.7,102.36
277,119.22,130.53,102.27,99.95
278,120.99,133.71,100.75,102.98
279,121.86,141.23,97.27,101.56
280,125.19,147.8,98.15,104.08
281,128.51,153.78,100.82,103.33
282,133.6,156.87,102.82,105.04
283,137.1,156.74,106.31,105.17
284,138.83,154.03,102.58,101.82
285,142.54,156.36,105.26,98.27
286,144.68,157.83,106.21,102.66
287,149.02,157.2,109.02,100.98
288,156.57,160.64,108.19,103.16
289,159.77,166.48,110.91,102.77
290,163.52,166.8,111.84,101.2
291,163.85,168,110.03,99.86
292,165.88,168.95,111.78,100.97
293,165.5,169.09,113.7,96.4
294,169.06,176.9,110.81,101.73
295,169.74,176.89,112.69,99.57
296,173.08,177.59,112.78,100.11
297,172.19,178.67,110.95,99.93
298,173.15,179.96,112.61,103.98
299,173.09,177.85,112.53,106.18
300,173.18,178.48,112.61,100.14
301,173.21,179.05,112.61,101.85
302,174.34,176.58,113.71,104.12
303,174.37,174.46,112.61,105.14
304,174.38,173.42,112.67,107.38
305,177.32,173.68,111.66,107.16
306,175.47,172.22,112.58,105.13
307,179.65,173.56,112.51,105.07
308,179.62,172.34,113.42,103.08
309,179.17,171.31,111.68,104.19
310,178.54,171.02,114.33,104.77
311,179.44,169.04,114.42,106.23
312,179.67,171.87,113.5,105.23
313,179.73,171.22,113.44,105.05
314,178.84,171.47,112.35,104.17
315,179.56,172.26,113.45,106.49
316,178.43,170.93,112.52,106.48
317,176.51,172.38,113.53,102.87
318,179.64,173.14,112.59,103.34
319,178.23,172.99,113.57,104.38
320,178.33,172.13,113.57,104.35
321,179.31,172.03,113.58,104.54
322,179.26,170.69,113.46,102.34
323,179.57,171.93,111.67,104.56
324,178.38,174.84,114.56,99.19
325,177.55,173.37,112.51,102.27
326,178.61,174.38,114.41,100.14
327,176.67,176.53,113.43,96.24
328,176.57,175,111.54,99.81
329,176.59,177.31,113.43,98.12
330,176.3,175.94,113.5,97.62
331,174.44,176.1,114.47,97.39
332,174.55,176.18,114.49,99.96
333,175.49,175.06,116.36,99.03
334,175.56,174.45,112.51,98.4
335,175.71,172.58,114.45,97.01
336,175.66,173.78,112.5,96.97
337,176.63,174.47,116.4,95.98
338,174.74,173.58,116.39,97.48
339,174.8,171.64,114.42,98.51
340,174.74,173.57,115.48,97
341,175.8,170.5,113.45,99.66
342,175.73,172.29,111.36,101.11
343,175.76,171.45,114.37,98.57
344,174.71,171.42,112.23,98.1
345,175.75,168.13,116.43,100.84
346,175.75,171.65,114.41,98.52
347,175.74,168.34,116.4,100.75
348,176.78,171.71,115.47,99.91
349,175.83,169.34,112.2,100.31
350,175.84,171.74,117.42,101.65
351,175.85,171.54,112.19,96.71
352,176.8,169.36,117.41,100.34
353,175.83,173.66,115.51,100.36
354,176.82,174.61,114.37,99.99
355,176.97,173.76,112.24,99.68
356,177.97,172.65,113.37,100.38
357,178.03,174.81,114.3,96.79
358,177.93,175.76,114.38,102.11
359,178.05,174.72,112.2,100.82
360,178.06,175.87,114.26,100.8
361,178.94,177.04,112.44,99.21
362,177.91,177.99,111.17,99.63
363,177.88,179.88,111.16,98.51
364,177.81,177.71,112.42,98.27
365,175.68,177.82,112.39,97.6
366,173.64,176.77,111.42,96.05
367,172.49,174.45,114.41,97.26
368,172.44,174.7,110.7,92.58
369,171.31,175.75,112.58,96.62
370,172.51,175.76,111.47,97.12
371,170.43,172.34,109.6,93.87
372,171.49,173.49,112.48,95.86
373,171.48,173.24,111.37,95.59
374,171.41,174.53,112.43,95.46
375,172.43,174.47,114.43,97.36
376,171.61,173.5,112.42,93.51
377,171.35,173.72,110.64,94.07
378,171.36,173.36,112.54,96.16
379,173.46,173.64,114.48,93.97
380,172.31,175.63,113.57,97.26
381,175.42,176.86,114.53,98.48
382,175.5,175.77,114.52,97.42
383,174.51,174.54,114.54,95.72
384,177.58,175.64,117.39,97.34
385,175.75,175.57,113.34,97.26
386,177.62,176.82,115.38,100.97
387,176.39,173.64,115.51,95.96
388,176.55,175.67,113.47,94.44
389,177.58,173.67,113.43,98.26
390,176.48,174.73,113.46,98.09
391,177.57,174.75,113.49,93.98
392,177.62,174.81,114.37,96.44
393,177.48,174.86,113.49,96.41
394,177.55,173.71,113.5,96.45
395,177.74,177.91,115.48,98.98
396,177.63,174.8,113.51,95.93
397,175.59,176.82,114.48,98.49
398,177.66,174.74,113.41,95.08
399,175.63,173.54,114.54,98.14
400,175.51,174.65,113.42,97.96
401,173.23,173.75,114.54,93.64
402,168.92,173.69,112.57,91.28
403,165.82,172.53,110.52,92.46
404,161.17,172.46,108.77,94.02
405,158.24,172.24,109.67,93.89
406,156.26,169.98,106.81,92.72
407,156.17,168.75,108.7,91.08
408,154.13,159.43,107.74,88.71
409,148.9,156.38,104.91,92.64
410,141.21,155.17,101.34,90.73
411,136.82,152.33,99.51,92.54
412,134.67,153.16,98.36,93.2
413,131.22,148.45,97.4,92.81
414,127.34,142.64,95.55,92.53
415,120.74,135.23,92.4,86.3
416,115.54,128.66,93.31,86.07
417,113.92,128.22,92.59,86.52
418,113.11,122.82,90.45,88.52
419,109.12,122.88,90.38,92.41
420,105.54,118.96,89.16,88.57
421,102.79,112.97,89.16,87.51
422,98.17,112.95,86.57,90.72
423,94.36,109.04,87.45,90.65
424,91.32,107.03,84.82,90.62
425,87.3,104.16,86.15,91.75
426,86.84,95.07,85.73,90.13
427,85.49,98.16,84.88,91.74
428,86.49,94.53,85.7,89.65
429,84.12,93.71,81.85,92.85
430,82.61,95.09,83.48,90.25
431,82.62,92.17,81.4,88.63
432,80.7,90.53,81.44,90.39
433,82.85,93.36,83.73,89.15
434,82.66,94.16,80.84,90.32
435,83.59,90.52,80.32,87.49
436,85.11,93.38,78.69,86.02
437,86.12,94.26,80.83,88.91
438,88.21,98.17,81.31,86.54
439,91.93,100.64,82.65,86.08
440,93.89,103.17,80.02,86.47
441,99.19,108.81,81.38,89.3
442,100.75,113.12,82.79,87.1
443,102.33,116.82,86.99,88.1
444,111.46,128.75,84.19,90.04
445,116.98,138.16,92.7,91.33
446,127.27,141.25,97.88,100.12
447,133.19,148.48,107.21,103.39
448,147.53,154.78,125.46,101.08
449,162.56,167.14,136.98,89.53
450,175.38,170.29,149.67,71.58
451,176.06,176.41,153.78,79.71
452,175.87,178.87,156.71,143.05
453,178.92,176.88,151.89,149.14
454,177.84,177.58,150.54,146.88
455,174.77,178.89,150.46,146.15
456,172.36,175.83,148.22,141.06
457,169.22,176.04,147.21,138.29
458,170.26,174.2,145,137.66
459,173.56,176.71,140.47,137.38
460,169.04,174.87,146.21,134.76
461,171.21,176.47,143.29,137.68
462,172.48,176.79,137.39,140.37
463,173.54,175.48,135.31,139.67
464,173.65,176.6,136.11,144.06
465,172.62,179.94,135.08,145.31
466,172.67,179.95,133.12,144.07
467,170.44,179.19,134.62,140.38
468,171.84,179.09,132.08,132.46
469,171.99,179.94,127.95,134.37
470,171.72,178.78,132.84,135.85
471,168.46,179.97,130.99,138.13
472,167.46,177.82,131.74,132.52
473,170.6,178.89,137.31,142.55
474,173.68,179.84,139.8,133.71
475,170.71,177.89,141.92,132.77
476,169.62,172.58,142.1,142.34
477,166.09,170.28,150.45,149.32
478,161.34,165.96,143.94,138
479,152.37,157.65,122.78,104.2
480,143.62,151.87,108.48,98.12
