current_frame,Angle1,Angle2,Angle3,Angle4
0,168.24,179.67,121.3,110.61
1,171.23,179.8,117.95,117.84
2,167.89,178.27,119.74,117.87
3,167.99,178.22,119.59,120.85
4,172.95,178.31,117.95,118.19
5,169.67,173.11,119.67,119.92
6,169.62,176.96,119.59,122.6
7,169.58,173.3,119.43,118.22
8,168.04,179.93,119.57,117.94
9,169.53,178.57,119.65,114.47
10,169.62,178.73,119.67,115.93
11,173.33,179.87,114.54,111.05
12,172.92,176.29,114.72,115.15
13,171.2,175.17,116.42,112.44
14,172.98,179.88,116.44,124.58
15,172.97,179.85,117.49,120.11
16,174.58,178.33,114.81,124.62
17,169.6,178.22,122.49,130.14
18,172.89,178.33,117.91,122.74
19,172.89,178.37,117.95,117.97
20,173.0,179.75,116.3,114.5
21,169.7,178.54,118.01,114.64
22,169.57,178.23,118.07,122.7
23,169.68,178.2,119.58,122.69
24,169.65,178.22,120.72,116.41
25,173.02,178.23,119.03,111.85
26,171.38,178.13,117.96,123.75
27,174.7,178.17,114.86,125.53
28,174.65,178.14,117.54,118.28
29,172.92,179.74,116.52,107.65
30,172.9,178.2,120.92,126.23
31,169.65,178.3,124.36,128.21
32,171.32,179.98,119.23,127.41
33,172.96,179.98,118.09,99.4
34,172.91,179.96,116.35,119.66
35,169.67,178.18,119.61,114.62
36,171.31,179.74,116.33,107.54
37,173.0,178.34,117.76,111.93
38,173.07,178.16,117.88,115.1
39,169.7,178.25,119.61,115.1
40,171.29,178.11,119.54,115.01
41,173.23,176.58,117.91,111.91
42,169.62,178.17,119.56,116.12
43,169.65,178.29,119.62,116.68
44,169.63,176.37,119.45,115.23
45,169.65,178.15,119.46,111.88
46,171.28,178.34,120.8,126.19
47,172.97,178.58,118.09,114.53
48,172.96,178.06,114.98,111.88
49,172.92,179.8,116.42,112.9
50,172.98,178.27,116.51,117.99
51,172.98,178.35,116.56,118.08
52,172.96,178.05,119.19,116.0
53,172.89,178.13,115.08,113.13
54,169.64,178.24,117.93,108.49
55,171.2,178.25,120.93,116.76
56,171.47,178.2,120.73,115.14
57,171.55,178.42,119.67,113.18
58,171.59,178.19,122.57,121.94
59,171.27,178.32,122.58,126.23
60,171.55,178.42,121.51,122.74
61,171.19,178.32,121.55,121.65
62,171.41,178.39,119.71,114.99
63,171.16,178.23,119.72,111.42
64,171.34,178.28,122.55,125.44
65,171.19,178.38,122.58,121.05
66,171.29,178.32,119.74,122.49
67,173.16,178.13,119.71,122.7
68,173.21,178.26,118.01,114.96
69,171.24,178.17,118.06,113.13
70,171.56,178.48,119.61,113.22
71,171.27,178.33,119.54,115.03
72,172.9,179.7,119.62,114.42
73,173.24,178.32,116.35,118.16
74,173.14,179.99,116.45,113.25
