current_frame,Angle1,Angle2,Angle3,Angle4
0,170.24,179.67,106.4,106.11
1,170.26,178.22,103.45,108.23
2,172.0,178.37,106.76,106.1
3,170.18,176.57,106.34,103.79
4,171.05,177.88,99.93,94.63
5,170.19,177.9,105.02,94.78
6,172.36,177.9,102.45,94.82
7,170.61,177.85,102.45,94.62
8,170.69,179.82,103.91,97.38
9,170.69,179.99,103.9,93.1
10,172.1,176.43,108.33,108.14
11,171.84,179.78,105.03,96.72
12,170.68,179.86,105.39,97.35
13,172.4,178.2,107.12,97.39
14,170.63,179.48,106.84,99.03
15,172.09,179.45,109.9,108.4
16,172.41,179.36,107.12,104.21
17,174.14,179.9,107.09,96.94
18,173.74,176.21,108.34,112.55
19,174.11,176.08,110.22,112.34
20,172.31,179.47,103.86,103.02
21,174.11,179.88,107.14,102.12
22,171.98,179.74,105.13,108.72
23,171.94,179.86,106.39,100.22
24,170.26,177.88,104.95,94.96
25,175.28,178.11,108.31,93.06
26,173.52,175.9,112.44,100.99
27,170.35,174.52,106.5,104.22
28,172.42,178.33,103.85,98.24
29,170.41,178.32,103.46,97.34
30,170.79,178.11,106.8,98.16
31,172.11,178.09,106.38,95.49
32,172.48,179.82,106.74,95.67
33,170.35,174.43,106.48,98.26
34,172.43,178.05,109.6,99.12
35,170.8,178.22,106.83,95.01
36,169.92,178.48,106.11,101.64
37,170.37,177.93,105.05,101.2
38,171.88,176.36,107.99,103.84
39,170.39,178.18,102.18,96.74
40,173.88,176.39,108.2,98.62
41,172.08,176.31,104.97,99.25
42,171.87,177.98,106.41,94.94
43,172.49,179.96,106.84,97.53
44,172.44,179.93,103.88,92.99
45,171.94,178.41,106.39,97.31
46,171.88,179.8,106.47,101.78
47,170.4,176.36,106.53,109.66
48,172.05,179.87,103.5,97.37
49,172.05,179.76,103.51,92.76
50,171.93,177.97,104.98,103.28
51,171.88,177.71,103.42,99.83
52,171.9,175.92,106.4,96.31
53,172.03,177.94,105.02,95.0
54,172.01,178.13,106.42,100.24
55,172.09,175.82,106.45,96.88
56,172.07,177.79,106.49,104.23
57,171.99,175.98,106.4,101.11
58,173.48,179.6,104.98,101.7
59,172.12,177.91,105.01,103.18
60,171.13,177.78,111.22,103.22
61,172.14,179.74,107.79,101.91
62,172.17,179.84,109.32,100.93
63,173.81,179.86,105.07,96.75
64,173.72,179.71,105.01,101.73
65,173.94,175.98,104.95,94.64
66,177.01,178.13,104.95,103.9
67,176.28,176.12,106.76,90.65
68,173.72,176.08,104.96,97.37
69,173.85,171.69,106.36,93.7
70,175.55,177.74,108.35,98.91
71,174.0,175.79,111.15,103.63
72,171.97,173.31,106.47,107.99
73,174.25,175.73,109.65,112.22
74,173.88,172.09,109.19,105.27
75,172.16,173.97,107.78,105.36
76,171.57,179.55,106.08,101.7
77,172.03,179.62,109.26,97.34
78,171.94,177.55,106.56,106.98
79,172.37,174.12,106.8,100.15
80,172.39,175.95,103.82,95.53
81,174.07,177.87,105.55,97.44
82,174.11,175.89,106.98,94.79
83,171.86,173.91,103.41,92.82
84,171.86,176.05,103.34,90.72
85,173.84,175.85,103.69,95.3
86,171.75,177.92,106.42,97.6
87,172.29,175.99,106.78,95.61
88,174.04,177.78,102.36,96.53
89,173.63,177.92,109.8,96.77
90,173.72,176.04,105.16,97.39
91,170.29,175.96,103.4,97.27
92,172.32,176.07,100.52,101.75
93,170.49,177.69,97.24,97.31
94,170.07,179.78,100.2,99.43
95,169.66,176.14,104.33,97.52
96,169.66,175.84,99.74,101.6
97,169.53,175.66,101.0,102.87
98,165.56,173.72,103.47,99.54
99,169.0,175.52,103.88,107.33
100,162.46,173.44,99.26,100.51
101,162.27,175.55,99.05,108.94
102,158.69,173.23,103.64,100.4
103,155.11,175.67,101.9,101.68
104,153.85,169.12,97.62,101.06
105,148.81,163.4,95.98,94.02
106,148.34,169.62,95.93,98.38
107,149.43,175.48,101.94,102.72
108,145.65,167.27,96.02,98.11
109,144.72,157.05,98.49,91.3
110,144.55,154.85,95.05,92.68
111,143.77,155.23,97.57,91.34
112,145.67,157.66,101.99,98.38
113,143.92,146.41,98.23,98.25
114,140.12,162.34,93.43,100.4
115,139.04,159.01,98.81,109.63
116,137.72,160.69,96.6,105.14
117,139.3,154.06,96.9,105.34
118,133.96,157.97,94.57,100.59
119,131.64,153.21,90.9,98.21
120,121.91,152.91,95.95,121.7
121,124.35,147.83,95.39,119.09
122,115.44,147.91,91.05,119.43
123,119.22,137.18,93.87,112.19
124,115.31,149.41,91.02,118.02
125,112.13,131.46,90.0,107.3
126,112.16,137.01,90.0,106.94
127,111.84,139.0,83.44,111.26
128,104.97,139.88,90.36,111.36
129,109.1,131.41,91.26,107.39
130,102.44,141.28,90.37,113.84
131,102.38,136.71,90.34,114.47
132,98.9,131.74,90.66,108.77
133,99.26,137.54,91.99,116.32
134,96.67,141.61,87.1,118.66
135,96.74,137.77,90.9,121.74
136,95.41,139.74,85.97,115.88
137,95.39,143.72,86.0,118.16
138,96.7,133.3,89.67,116.06
139,95.26,143.12,85.96,120.97
140,93.89,142.27,85.96,117.55
141,95.35,142.31,92.58,113.75
142,90.26,130.38,87.07,107.47
143,91.51,144.07,92.44,116.24
144,90.19,141.62,87.02,111.1
145,92.85,139.45,84.14,108.0
146,91.32,134.55,81.42,106.91
147,88.73,130.88,83.7,100.84
148,85.63,133.47,85.75,111.49
149,84.46,138.41,85.73,113.53
150,84.26,142.01,81.27,111.61
151,81.46,133.49,81.02,111.43
152,81.53,144.26,78.87,118.39
153,79.9,141.23,84.23,122.52
154,80.23,134.58,90.1,116.29
155,82.76,143.4,82.38,118.86
156,83.99,140.02,82.58,121.6
157,82.61,138.22,87.01,119.32
158,80.11,131.67,88.57,111.57
159,82.56,125.13,84.49,116.38
160,77.36,128.71,88.66,115.76
161,80.5,127.57,85.72,109.28
162,78.75,128.02,92.86,110.38
163,79.03,128.18,87.35,114.04
164,81.51,129.44,94.15,114.1
165,81.73,130.37,83.08,111.37
166,83.08,127.58,86.99,113.17
167,81.65,128.05,88.54,110.26
168,84.35,125.36,91.36,111.78
169,85.89,130.29,87.34,110.36
170,92.58,129.31,84.41,110.19
171,95.43,132.09,88.36,106.14
172,92.79,127.97,84.43,107.87
173,93.98,125.67,84.33,104.6
174,99.47,129.0,83.73,107.01
175,99.79,129.16,85.65,109.89
176,102.23,131.02,82.47,110.74
177,102.39,129.18,86.97,105.81
178,103.7,131.97,89.47,110.68
179,105.71,137.98,90.61,110.51
180,112.03,140.91,80.52,102.94
181,112.17,140.43,83.08,107.75
182,114.23,140.5,82.6,102.52
183,115.77,142.23,89.77,104.27
184,118.71,144.99,94.7,104.53
185,119.07,150.46,90.19,106.74
186,129.07,154.97,100.12,108.29
187,132.18,156.62,104.0,106.41
188,140.23,153.56,110.98,112.23
189,140.73,152.28,111.85,112.3
190,146.96,156.61,115.7,108.87
191,150.88,159.85,118.2,113.44
192,151.98,162.09,121.91,123.51
193,155.25,161.36,128.67,130.54
194,160.46,163.79,129.93,135.63
195,160.45,164.64,126.82,133.74
196,164.07,170.75,133.03,135.5
197,163.78,169.32,131.67,138.34
198,166.11,173.57,130.66,138.29
199,167.56,172.7,134.74,139.87
200,174.67,174.15,134.95,134.83
201,176.18,172.08,127.31,125.51
202,176.43,173.04,121.24,130.88
203,176.31,173.52,125.32,129.79
204,175.77,173.44,131.62,141.81
205,175.83,173.03,131.28,138.63
206,173.0,172.93,128.01,132.6
207,175.1,176.37,130.77,132.7
208,175.98,170.2,127.76,139.16
209,174.3,170.57,129.84,136.9
210,175.28,173.18,133.84,141.66
211,173.4,168.37,135.41,133.96
212,169.11,168.72,132.75,139.44
213,165.88,167.5,132.45,135.45
214,170.76,168.87,136.94,139.07
215,169.09,174.22,133.37,139.76
216,169.07,178.03,135.07,143.52
217,169.01,177.82,136.07,146.19
218,167.57,165.27,133.01,137.64
219,167.49,170.44,135.53,139.45
220,167.3,170.16,135.28,143.09
221,167.59,166.05,132.93,141.76
222,165.38,167.83,129.9,139.55
223,165.88,168.6,131.08,139.96
224,167.27,166.88,130.3,140.32
225,166.65,169.23,127.35,140.87
226,166.19,167.48,124.39,137.91
227,165.7,168.82,128.39,140.28
228,169.42,170.57,126.28,137.89
229,166.02,170.07,124.43,130.89
230,167.46,174.24,126.31,129.34
231,165.7,168.65,132.83,134.21
232,164.25,167.5,131.42,134.68
233,164.21,170.74,130.73,135.6
234,166.03,169.01,126.92,139.22
235,165.45,176.23,127.58,138.98
236,160.32,171.2,127.29,131.9
237,164.0,172.11,126.03,134.0
238,162.5,176.47,120.95,133.18
239,162.45,172.6,124.91,133.25
240,157.5,155.68,118.31,123.76
241,160.56,167.22,116.35,134.48
242,157.32,153.51,112.23,110.93
243,149.8,154.37,109.47,110.48
244,149.18,150.43,109.46,105.81
245,143.59,154.12,106.5,117.83
246,141.93,154.19,104.27,116.42
247,134.73,146.74,100.84,111.72
248,126.72,141.35,94.76,101.46
249,120.41,140.0,95.0,101.39
250,120.27,141.41,94.94,106.96
251,117.58,136.69,94.87,105.64
252,114.66,137.6,95.07,111.79
253,113.85,134.97,94.1,107.31
