current_frame,Angle1,Angle2,Angle3,Angle4
0,179.98,174.67,105.11,101.23
1,179.98,174.67,105.11,101.23
2,179.99,174.78,108.5,97.79
3,179.87,174.74,111.13,97.78
4,179.97,174.72,109.58,101.27
5,178.22,176.38,114.42,97.21
6,176.26,174.78,116.25,97.07
7,176.43,174.82,114.4,100.5
8,178.42,174.85,110.93,99.84
9,178.29,174.83,109.75,103.81
10,174.57,176.22,110.56,102.76
11,176.34,174.79,114.53,106.96
12,174.62,176.31,116.22,109.87
13,178.3,174.57,106.13,109.82
14,178.28,174.66,112.59,108.7
15,178.38,176.16,114.45,109.74
16,176.61,171.37,110.24,108.55
17,176.46,176.16,109.23,109.72
18,176.49,174.64,125.2,109.88
19,174.66,176.22,124.3,109.85
20,176.56,176.2,118.21,111.19
21,176.43,174.68,118.27,104.8
22,179.93,176.27,120.91,107.04
23,176.58,176.25,118.23,109.89
24,179.87,176.27,121.15,109.86
25,176.32,174.67,125.52,109.88
26,178.21,176.32,120.76,109.85
27,176.49,174.67,116.47,109.99
28,178.4,176.24,96.05,109.94
29,177.96,174.77,97.86,107.08
30,178.0,176.29,112.04,108.03
31,178.1,176.39,102.43,108.8
32,177.99,176.43,103.36,110.04
33,179.46,174.91,73.88,111.61
34,177.87,176.39,106.32,108.79
35,178.67,174.77,102.52,108.73
36,176.84,174.73,92.29,109.93
37,177.08,174.8,97.49,108.68
38,177.0,174.72,101.73,108.65
39,178.26,174.83,109.67,107.11
40,176.56,174.89,106.05,107.15
41,175.28,174.8,100.93,108.74
42,176.91,174.7,105.22,109.87
43,179.6,174.69,100.85,108.76
44,177.93,174.84,96.92,107.15
45,176.76,174.77,96.91,106.06
46,174.85,174.69,95.38,108.72
47,178.06,174.66,92.0,108.76
48,173.02,174.75,90.09,106.14
49,175.02,174.75,84.45,108.78
50,178.6,174.82,79.65,106.16
51,176.79,174.67,115.22,111.46
52,176.66,174.66,92.08,111.43
53,178.58,174.7,112.98,108.74
54,178.61,174.67,116.67,108.79
55,176.46,174.63,113.02,108.71
56,176.58,173.07,113.14,104.46
57,178.16,174.63,113.15,108.76
58,172.87,174.51,114.57,111.35
59,174.75,174.64,99.43,107.18
60,174.94,174.54,102.31,109.86
61,178.24,172.77,113.01,106.86
62,178.1,172.75,111.74,109.78
63,177.92,172.69,112.93,109.8
64,176.09,172.63,101.06,106.97
65,172.15,167.47,109.09,105.19
66,172.19,167.44,93.86,103.13
67,176.22,164.0,114.18,101.32
68,172.29,160.18,125.54,99.65
69,32.08,151.53,125.54,97.31
70,32.36,151.35,125.54,96.49
71,174.32,148.19,128.98,97.8
72,164.9,148.17,119.3,99.55
73,172.51,147.61,116.33,93.39
74,177.75,150.49,113.44,96.48
75,178.59,145.34,118.08,94.79
76,163.27,144.14,110.48,97.28
77,157.91,142.72,112.23,91.55
78,145.96,138.27,112.83,90.59
79,141.27,136.28,97.41,93.81
80,136.9,135.34,98.55,95.15
81,137.35,130.03,96.1,92.82
82,133.93,129.86,101.05,96.08
83,139.42,133.19,96.21,94.41
84,135.09,125.69,100.86,93.12
85,135.36,123.07,99.95,93.93
86,132.55,123.35,105.37,93.28
87,134.26,121.81,102.8,89.99
88,130.96,122.0,106.34,92.87
89,132.49,116.26,99.34,88.7
90,128.98,115.45,100.36,89.43
91,122.7,118.66,98.52,84.14
92,122.6,114.19,103.16,88.01
93,129.49,111.3,107.67,90.67
94,128.39,110.2,107.57,88.56
95,129.26,109.21,106.84,89.15
96,127.6,106.29,106.98,85.58
97,133.67,106.16,95.33,85.51
98,125.57,106.15,100.57,83.88
99,126.56,107.92,104.18,83.87
100,125.32,108.48,105.19,83.26
101,122.22,109.9,105.03,84.69
102,120.07,108.28,98.96,82.59
103,118.5,106.97,102.46,84.34
104,113.52,108.17,99.86,86.92
105,111.8,111.37,100.94,86.51
106,117.83,108.6,100.67,86.4
107,106.14,109.8,95.56,84.43
108,116.7,115.0,98.55,84.96
109,116.66,112.85,98.45,85.36
110,116.92,112.07,103.83,87.93
111,121.3,116.92,101.44,92.43
112,121.26,117.78,100.97,91.05
113,118.09,119.37,98.61,87.5
114,119.78,120.47,98.65,86.83
115,127.52,121.2,109.26,94.16
116,130.0,120.54,105.09,96.73
117,133.46,121.14,107.51,90.92
118,137.37,125.06,106.99,90.59
119,141.45,126.06,107.13,89.17
120,140.26,128.38,106.28,93.56
121,145.52,137.08,105.83,93.9
122,147.88,143.08,107.32,99.05
123,148.41,145.72,108.92,100.52
124,150.95,146.35,108.12,99.71
125,147.97,149.72,106.05,104.05
126,148.47,150.87,104.96,109.99
127,154.12,155.1,105.18,112.95
128,154.35,155.39,80.87,117.22
129,162.24,157.43,126.75,124.22
130,164.1,164.23,129.46,136.54
131,167.39,164.44,139.77,136.35
132,171.82,166.51,139.68,140.6
133,171.26,166.91,137.11,135.93
134,174.6,168.19,145.43,133.51
