current_frame,Angle1,Angle2,Angle3,Angle4
176,175.9,164.53,101.27,95.39
177,172.78,164.3,99.18,95.13
178,170.44,165.98,93.96,97.04
179,176.05,160.96,99.01,97.1
180,172.29,160.5,101.01,97.12
181,173.84,160.59,110.02,97.2
182,170.23,158.55,94.99,94.09
183,164.22,158.51,101.95,95.13
184,166.42,156.66,96.23,95.32
185,166.92,160.07,93.24,91.34
186,177.01,161.45,88.89,94.64
187,172.98,161.56,92.3,91.27
188,174.68,155.9,92.45,93.3
189,174.12,155.86,103.38,93.19
190,166.52,153.99,96.19,96.77
191,161.77,152.68,94.19,93.31
192,159.73,148.81,97.0,95.18
193,156.01,147.06,92.25,91.58
194,147.3,146.21,93.52,95.65
195,144.33,142.94,100.08,89.89
196,144.65,138.69,95.16,88.26
197,146.54,131.35,82.33,88.04
198,23.66,130.4,82.33,85.56
199,16.16,126.91,82.33,85.67
200,21.7,125.56,82.33,87.94
201,5.71,120.95,82.33,81.17
202,125.8,118.94,107.91,81.87
203,137.69,117.46,112.1,87.69
204,128.84,116.26,51.46,81.86
205,122.7,113.34,100.87,81.86
206,117.0,115.45,93.38,83.71
207,115.28,111.29,97.5,84.71
208,119.77,110.77,106.88,93.94
209,116.43,107.06,105.3,87.68
210,116.03,103.08,107.52,91.78
211,110.73,102.42,110.4,92.62
212,103.36,102.69,108.08,93.24
213,100.57,102.62,106.37,88.68
214,101.57,100.04,102.2,90.16
215,100.86,101.84,104.98,91.79
216,103.27,99.45,103.89,87.77
217,103.28,100.57,105.58,90.83
218,100.17,100.0,102.35,85.79
219,99.36,98.01,107.73,83.41
220,100.04,95.88,109.59,87.47
221,107.03,90.02,106.06,86.18
222,98.18,88.99,112.72,89.52
223,104.49,85.82,112.99,92.62
224,97.07,85.27,109.79,91.44
225,90.79,82.73,99.33,83.72
226,98.92,83.71,104.67,85.73
227,92.38,85.77,102.81,87.46
228,92.38,82.86,102.69,86.92
229,99.28,85.51,101.35,86.04
230,88.49,81.42,95.41,81.94
231,91.64,79.47,100.36,85.31
232,87.58,82.88,98.67,83.54
233,89.03,81.0,97.95,83.17
234,89.86,80.6,97.73,85.73
235,90.15,79.89,97.81,85.23
236,83.85,79.33,94.95,85.2
237,89.29,78.05,98.86,83.07
238,87.91,80.28,97.43,86.43
239,89.4,78.23,102.31,85.78
240,90.96,81.61,98.67,84.15
241,94.15,84.54,98.02,83.85
242,92.77,89.86,104.12,85.29
243,97.18,101.81,103.06,92.74
244,99.06,103.15,101.65,90.63
245,100.19,94.53,103.02,89.97
246,101.08,94.39,103.88,89.97
247,120.77,91.3,107.24,87.16
248,121.95,95.6,107.04,91.22
249,105.4,94.08,97.22,82.81
250,120.19,95.48,110.76,90.31
251,122.21,98.04,111.3,90.49
252,122.9,97.82,115.19,89.69
253,124.6,101.62,110.73,94.43
254,126.39,107.09,108.19,90.59
255,122.17,112.08,100.97,86.35
256,128.3,115.19,110.62,94.28
257,128.67,116.06,110.02,97.01
258,130.37,117.12,116.21,97.29
259,134.99,124.95,113.52,98.96
260,139.34,126.16,112.12,104.78
261,138.8,131.72,114.23,107.27
262,139.43,135.83,114.8,111.43
263,142.83,138.95,116.51,110.69
264,149.32,142.71,103.21,115.99
265,152.93,147.94,103.27,121.28
266,160.52,158.36,99.03,121.7
267,166.52,167.35,104.84,127.86
268,174.38,174.5,131.8,143.07
269,176.38,174.52,106.14,138.44
270,176.69,171.3,124.82,140.82
271,176.4,174.75,148.76,142.99
272,178.25,178.07,149.09,140.16
273,178.77,178.2,105.15,147.0
274,179.37,178.16,111.92,148.73
275,179.22,178.11,118.92,147.14
276,178.93,178.19,113.33,148.88
277,179.32,179.84,152.32,148.96
278,179.29,178.21,105.41,145.63
279,178.47,176.73,150.27,141.71
280,178.34,176.67,111.56,141.48
281,174.77,176.41,110.65,141.86
282,176.53,174.81,115.1,143.81
283,176.38,174.82,113.15,141.87
284,176.25,172.9,122.48,139.25
285,176.08,169.57,124.26,136.8
286,176.39,172.91,127.92,139.23
287,174.7,173.04,135.27,139.37
288,175.81,174.67,138.24,148.24
289,178.2,173.04,128.43,135.01
290,176.4,173.2,130.61,135.33
291,178.25,173.25,134.87,135.19
292,173.09,176.47,147.94,143.88
293,176.28,173.27,142.35,135.27
294,178.03,175.03,143.42,132.11
295,176.47,174.98,145.33,137.37
296,174.7,174.94,135.37,131.86
297,176.35,174.88,140.45,134.62
298,176.42,174.9,142.59,138.96
299,176.54,174.7,140.59,138.88
300,179.97,174.75,126.5,134.12
301,178.35,174.69,128.3,135.99
302,176.71,176.45,128.23,138.43
303,178.32,174.75,135.09,140.75
304,178.34,174.69,128.87,140.64
305,176.68,173.08,137.51,141.15
306,179.92,174.6,134.33,145.27
307,176.68,177.99,127.78,146.81
308,178.27,174.7,124.78,140.67
309,178.29,178.03,116.92,139.97
310,179.95,176.35,122.81,146.81
311,176.04,176.58,122.38,140.52
312,178.88,174.91,117.31,138.92
313,177.86,173.18,117.24,138.26
314,176.63,174.59,109.65,146.9
315,178.19,174.7,113.31,142.87
316,178.13,176.25,107.14,140.72
317,178.29,174.59,145.29,135.06
318,178.29,176.36,147.14,143.26
319,176.37,176.33,121.81,137.79
320,176.15,176.32,111.22,144.32
321,165.44,169.77,90.54,141.37
322,161.29,164.08,92.33,139.99
323,159.35,155.59,88.73,125.03
324,157.21,148.62,82.52,117.81
325,150.65,141.52,80.2,109.24
326,150.15,141.4,79.42,108.41
327,150.89,136.2,78.08,107.5
328,146.8,136.72,76.05,103.62
329,140.24,134.39,107.35,106.8
330,65.74,130.41,78.41,105.25
331,125.94,126.45,95.86,100.72
332,123.13,124.52,99.25,104.69
333,122.24,123.96,97.41,100.9
334,121.66,122.88,94.6,108.34
335,117.08,117.97,90.48,106.04
336,118.56,116.0,94.12,108.12
337,100.17,108.47,85.33,98.6
338,67.1,107.59,104.78,97.58
339,69.27,101.34,115.88,95.39
340,79.81,99.86,56.99,95.33
341,96.62,101.16,83.33,99.5
342,94.61,101.39,82.33,94.16
343,96.02,101.35,87.76,94.22
344,98.23,99.29,97.69,98.32
345,96.02,103.93,101.22,98.46
346,97.04,94.77,104.87,99.33
347,90.92,89.06,92.72,92.37
348,74.32,90.58,88.54,91.25
349,82.22,91.12,94.13,93.83
350,90.77,91.01,118.14,97.43
351,89.93,90.55,107.46,96.46
352,78.45,86.61,107.64,95.84
353,77.87,86.73,93.91,90.94
354,72.75,85.64,110.31,93.35
355,70.06,83.33,111.87,94.4
356,72.94,82.47,89.12,94.4
357,71.38,86.17,83.06,97.44
358,72.77,85.27,84.49,94.73
359,71.98,83.78,87.3,93.29
360,74.21,82.08,84.58,93.29
361,74.29,82.11,84.14,93.33
362,69.97,82.1,79.01,93.3
363,72.94,82.95,80.89,93.28
364,70.55,82.07,81.64,93.25
365,71.63,82.14,79.16,93.35
366,70.9,80.28,78.09,93.24
367,71.18,83.02,83.73,93.41
368,71.97,84.87,86.26,93.34
369,74.9,84.84,81.15,93.33
370,72.98,84.86,81.86,89.86
371,73.1,86.5,78.67,89.87
372,75.34,86.69,81.08,93.24
373,77.33,86.67,78.74,93.31
374,77.2,86.73,81.19,93.32
375,74.95,86.75,83.04,94.26
376,78.29,87.74,81.23,94.22
377,78.66,86.74,84.44,94.26
378,81.43,87.83,83.12,94.4
379,82.47,86.83,82.31,94.35
380,90.49,89.06,93.04,90.94
381,92.19,91.58,93.04,90.92
382,95.24,93.1,99.33,90.95
383,102.32,94.21,100.29,92.0
384,97.79,95.58,95.7,91.97
385,98.25,100.68,99.34,93.47
386,90.65,100.28,111.03,94.31
387,102.67,99.17,97.31,92.06
388,96.65,101.25,85.64,92.97
389,99.76,100.67,89.33,92.18
390,100.52,104.42,83.22,100.91
391,105.37,107.95,85.54,99.41
392,107.59,107.04,79.6,101.02
393,109.58,111.8,81.68,99.32
394,109.26,110.96,84.15,98.45
395,109.22,113.09,81.25,99.24
396,109.44,121.18,81.26,102.42
397,119.71,116.89,90.01,105.06
398,120.75,113.36,94.79,100.75
399,126.06,116.25,98.33,105.65
400,134.26,118.81,107.89,103.14
